condition_id,candidate_index,target_volume,load_y_fraction,load_angle_deg,compliance,volume_fraction,volume_error,relative_residual,binarity,connected_at_0_5
19,5,0.5,0.25,-90.0,948.04692969732,0.4999999928210552,7.1789448274905965e-09,2.031262032830757e-12,0.9999372114878948,0
19,6,0.5,0.25,-90.0,944.832465762023,0.49999997186629724,2.8133702756338863e-08,2.2377503112118334e-12,0.9999554506527941,0
19,7,0.5,0.25,-90.0,929.2222899915387,0.4999999035693084,9.643069159848139e-08,2.2053653954402498e-12,0.9998432915939093,0
19,8,0.5,0.25,-90.0,944.6113456457246,0.500000013737008,1.3737007975578308e-08,2.2415982308662177e-12,0.9999524935320955,0
19,9,0.5,0.25,-90.0,940.2311005879966,0.4999999787736063,2.1226393698281498e-08,2.2239722112245117e-12,0.9998005415755956,0
19,10,0.5,0.25,-90.0,944.762550133343,0.5000000074893857,7.489385667192039e-09,2.2414314010863067e-12,0.9999503594835892,0
19,11,0.5,0.25,-90.0,941.9140924959462,0.49999989992162835,1.0007837164538458e-07,2.0933714215164823e-12,0.9999264196269495,0
19,12,0.5,0.25,-90.0,943.7646441996947,0.49999999507175136,4.928248642510624e-09,2.251434690059075e-12,0.99994821035224,0
19,13,0.5,0.25,-90.0,934.5485947548956,0.4999999919673428,8.032657206058502e-09,2.2358458857447616e-12,0.9999092238708406,0
19,14,0.5,0.25,-90.0,465.8953809644494,0.5000000344589353,3.4458935260772705e-08,1.1145273141372378e-12,0.8875032874772139,0
19,15,0.5,0.25,-90.0,924.9959398521463,0.5000000488944352,4.889443516731262e-08,2.199163442949942e-12,0.9997722554812754,0
26,0,0.5,0.75,-74.99999987994416,935.3701355182932,0.49999991261089843,8.738910156624868e-08,2.163573333642158e-12,0.999857775979918,0
26,1,0.5,0.75,-74.99999987994416,938.8224883843958,0.5000000884756446,8.847564458847046e-08,2.2023121697890834e-12,0.9999168370842936,0
26,2,0.5,0.75,-74.99999987994416,948.1893490464782,0.5000000115639219,1.1563921931134757e-08,2.2175808843391365e-12,0.9999148598501094,0
26,3,0.5,0.75,-74.99999987994416,937.2681836054353,0.5000000034536546,3.4536545845398336e-09,2.04542548313904e-12,0.999904483575862,0
26,4,0.5,0.75,-74.99999987994416,333.9816986516877,0.4999999759408335,2.4059166492396145e-08,1.4939233006708425e-12,0.7787182787124016,1
26,5,0.5,0.75,-74.99999987994416,946.7542650804702,0.4999999525801589,4.741984110934183e-08,2.285161470166626e-12,0.999926823955246,0
26,6,0.5,0.75,-74.99999987994416,3707.380143605562,0.4999999498249963,5.0175003707408905e-08,1.1413455203799649e-12,0.7601479360892521,0
26,7,0.5,0.75,-74.99999987994416,942.9979159210161,0.5000000904935101,9.049351012979656e-08,2.209457778539199e-12,0.9999375135199408,1
26,8,0.5,0.75,-74.99999987994416,946.3452728367154,0.5000000413662443,4.136624431883007e-08,2.324568768825187e-12,0.9999202832598963,0
26,9,0.5,0.75,-74.99999987994416,321.0750336570352,0.5000000939471647,9.39471647143364e-08,1.4450362519430094e-12,0.8000487165490378,1
26,10,0.5,0.75,-74.99999987994416,928.694844361297,0.5000000050058588,5.005858838558197e-09,1.955701548511696e-12,0.9998318284770242,1
26,11,0.5,0.75,-74.99999987994416,814.9165233553904,0.5000000256113708,2.561137080192566e-08,1.912382543686604e-12,0.9968586309747929,0
26,12,0.5,0.75,-74.99999987994416,943.2570776537654,0.49999999538219225,4.6178077472980306e-09,2.2471030882729427e-12,0.9999080143193768,1
26,13,0.5,0.75,-74.99999987994416,370.4506830368507,0.5000000152504072,1.525040715932846e-08,1.1175603044210696e-12,0.8397446937455726,0
26,14,0.5,0.75,-74.99999987994416,941.3225186072734,0.49999998913456994,1.08654300556843e-08,1.9778403244349736e-12,0.9999534160622351,1
26,15,0.5,0.75,-74.99999987994416,943.279419648586,0.5000000356618935,3.5661893549310264e-08,2.269238747441886e-12,0.9998926948954073,0
